㞄,qöm,qö́m,,,,,,
姎,qang,qáng,,,,,,
咉,qang,qáng,,,,,,
盎,qáng,qàng,,,,,,
醠,qáng,qàng,,,,,,
枊,ngang,ngàng,,,,,,
䢿,qan,qàn,,,,,,
犴,ngan,ngàn,,,,,,
嫯,ngau,ngàu,,,,,,
䫨,ngau,ngàu,,,,,,
鏊,ngau,ngàu,,,,,,
驁,ngau,ngàu,,,,,,
鷔,ngau,ngàu,,,,,,
镺,qáu,qàu,,,,,,
軪,qrau,qràu,,,,,,
唉,qöi,qrä́i,,,,,,
毐,qöi,qö́i,,,,,,
挨,qrä́i,qö́i,,,,,,
曖,qàj,qö̀i,,,,,,
呃,qrä̀i,qrek,,,,,,
阸,qrè,qrek,,,,,,
𩚬,qräk,qrek,,,,,,
䩹,ngräk,ngrek,,,,,,
跁,brà,brá,,,,,,
笆,pra,brá,,,,,,
捌,prät,prat,,,,,,
斒,pran,prän,,,,,,
瓪,prán,puán,,,,,,
伴,buán,buàn,,,,,,
敗,bràj,pràj,,,,,,
𢟡,brä̀i,bré,,,,,,
憊,brä̀i,bré,,,,,,
伂,pàj,pàj,,,,,,
䟺,pàj,bàj,,,,,,
蓓,bö́i,buö́i,,,,,,
背,buö̀i,puö̀i,,,,,,
倍,bö́i,puö̀i,,,,,,
佊,pyḯ,pyï̀,,,,,,
詖,pyï,pyï̀,,,,,,
陂,pyï,pyï̀,,,,,,
藣,pyï,pyï̀,,,,,,
被,byḯ,byï̀,,,,,,
浜,preng,prä́ng,,,,,,
𦂌,prö́ng,púng,,,,,,
𠊧,brèng,bréng,,,,,,
菶,púng,búng,,,,,,
笨,púon,búon,,,,,,
奔,puon,pùon,,,,,,
㗗,pyḯ,piï,,,,,,
𪐄,brè,piḯ,,,,,,
梐,piei,biéi,,,,,,
㪏,piéi,pièi,,,,,,
薜,prek,bièi,,,,,,
𠦒,puan,pit,,,,,,
坒,bì,bit,,,,,,
鮅,pit,bit,,,,,,
駜,bit,byt,,,,,,
佖,bit,byt,,,,,,
鉍,pyì,pyt,,,,,,
繴,brek,piek,,,,,,
綼,bit,piek,,,,,,
㱸,biek,biäk,,,,,,
驫,piu,piäu,,,,,,
標,piäu,piä́u,,,,,,
裱,pyä́u,pyä̀u,,,,,,
鯿,pran,piän,,,,,,
𥣰,pien,pién,,,,,,
砭,pyäm,pyä̀m,,,,,,
辡,pyä́n,byä́n,,,,,,
辨,brä̀n,byä́n,,,,,,
閉,pièi,piet,,,,,,
㭭,prat,piet,,,,,,
苾,bit,biet,,,,,,
馝,bit,biet,,,,,,
飶,bit,biet,,,,,,
别,byät,pyät,,,,,,
鷩,pièj,piät,,,,,,
鄨,pièj,piät,,,,,,
怲,pyä́ng,pyä̀ng,,,,,,
邴,pyä́ng,pyä̀ng,,,,,,
并,piäng,piä̀ng,,,,,,
牝,bí,bín,,,,,,
猵,pien,bín,,,,,,
儐,pin,pìn,,,,,,
跛,pyï̀,puö́,,,,,,
爸,prà,buö́,,,,,,
簸,puö́,puö̀,,,,,,
軷,bàj,buat,,,,,,
菝,brät,buat,,,,,,
茇,buat,puat,,,,,,
䳊,buat,puat,,,,,,
悖,buö̀i,buot,,,,,,
䄶,byt,buot,,,,,,
孛,buö̀i,buot,,,,,,
鑮,buak,puak,,,,,,
𩣡,buot,brök,,,,,,
𦢊,prök,brök,,,,,,
𩌏,puak,bù,,,,,,
圃,pó,pò,,,,,,
抪,po,pò,,,,,,
餔,po,bò,,,,,,
鵏,po,bò,,,,,,
簿,buak,bó,,,,,,
部,bú,bó,,,,,,
暴,bàu,buk,,,,,,
曝,bàu,buk,,,,,,
瀑,bàu,buk,,,,,,
䑑,buk,bok,,,,,,
䗱,buk,bok,,,,,,
轐,puk,bok,,,,,,
襮,puak,pok,,,,,,
犦,brök,pok,,,,,,
䟃,tshöp,tshöm,,,,,,
傪,tshöm,tshö́m,,,,,,
黲,tshö́m,tshám,,,,,,
蒼,tshang,tsháng,,,,,,
懆,tsháu,tshàu,,,,,,
䰂,tshö́i,tshö̀i,,,,,,
琤,tschräng,tschreng,,,,,,
傖,tshang,dzcräng,,,,,,
崢,dzcräng,dzcreng,,,,,,
鬇,dzcräng,dzcreng,,,,,,
齔,tschýn,tschỳn,,,,,,
侘,tchra,tchrà,,,,,,
潺,dzcyän,dzcrän,,,,,,
䡲,dzcyän,dzcrän,,,,,,
攙,tschram,dzcräm,,,,,,
酁,dzcräm,dzcram,,,,,,
獑,dzcräm,dzcram,,,,,,
毚,dzcräm,dzcram,,,,,,
㢟,tchyän,tchyä́n,,,,,,
䟫,dcräng,tsjhyáng,,,,,,
昶,tchyáng,tchyàng,,,,,,
廠,tsjhyáng,tsjhyàng,,,,,,
倡,tsjhyang,tsjhyàng,,,,,,
鏟,tschrä́n,tschràn,,,,,,
羼,tschrä́n,tschràn,,,,,,
覘,tchyäm,tchyä̀m,,,,,,
幨,tsjhiäm,tsjhiä̀m,,,,,,
襜,tsjhiäm,tsjhiä̀m,,,,,,
䪜,tsjhiäm,tsjhiä̀m,,,,,,
怊,tchyäu,tsjhiäu,,,,,,
弨,tsjhiäu,tsjhiä́u,,,,,,
鈔,tschrau,tschràu,,,,,,
仯,tschráu,tschràu,,,,,,
叉,tschra,tschre,,,,,,
靫,tschra,tschre,,,,,,
